node_id,x,y
0,-84.399181,33.778274
1,-84.399141,33.7805085
2,-84.3955,33.772358
3,-84.4023043,33.7741865
4,-84.4023762,33.7742915
5,-84.40241,33.777284
6,-84.4012738,33.7783998
7,-84.3957622,33.7776404
8,-84.393635,33.776929
9,-84.404186,33.778675
10,-84.3936495,33.7759268
11,-84.393617,33.778178
12,-84.393597,33.779596
13,-84.3942921,33.7758785
14,-84.3919846,33.7739082
15,-84.392857,33.773903
16,-84.394212,33.773914
17,-84.3949162,33.7739229
18,-84.393301,33.7758719
19,-84.3920541,33.7712937
20,-84.3887846,33.7775901
21,-84.3919752,33.7751418
22,-84.3921012,33.7769008
23,-84.392078,33.778148
24,-84.3915359,33.7781441
25,-84.3922961,33.7753067
26,-84.388808,33.7758859
27,-84.4061026,33.779609
28,-84.404171,33.779655
29,-84.4025154,33.7796959
30,-84.4033144,33.7805609
31,-84.390396,33.776871
32,-84.388793,33.776842
33,-84.3954589,33.7790153
34,-84.3919779,33.7754132
35,-84.3943103,33.7739161
36,-84.4041547,33.7805699
37,-84.3942264,33.7733518
38,-84.391931,33.7795987
39,-84.4027645,33.7738413
40,-84.4024806,33.7737282
41,-84.3961053,33.7752097
42,-84.3937114,33.7713171
43,-84.393714,33.7714604
44,-84.4025862,33.7739647
45,-84.3957244,33.7752681
46,-84.3937306,33.7739103
47,-84.3991933,33.7795756
48,-84.4011799,33.7737079
49,-84.4012493,33.7734071
50,-84.3991277,33.7783774
51,-84.3991269,33.7789155
52,-84.3991175,33.7790979
53,-84.399104,33.7792968
54,-84.3990949,33.7794314
55,-84.3990938,33.7794621
56,-84.3990924,33.7795104
57,-84.3990861,33.7796289
58,-84.3990838,33.7796811
59,-84.3990817,33.7797281
60,-84.3990865,33.7801858
61,-84.3990891,33.7804341
62,-84.3990893,33.7804521
63,-84.3992847,33.7782788
64,-84.3994028,33.778284
65,-84.3994719,33.7782956
66,-84.399557,33.7783098
67,-84.3996523,33.7783258
68,-84.3999171,33.7783792
69,-84.3999891,33.7783977
70,-84.4001446,33.7784301
71,-84.4002281,33.7784398
72,-84.400408,33.778474
73,-84.400536,33.778484
74,-84.4006752,33.7784898
75,-84.400816,33.778487
76,-84.400948,33.778479
77,-84.401078,33.778457
78,-84.4012109,33.7784231
79,-84.3990595,33.7782718
80,-84.3981831,33.7782559
81,-84.3978653,33.7782521
82,-84.3977916,33.7782507
83,-84.3977201,33.7782492
84,-84.3976074,33.7782503
85,-84.3974584,33.7782488
86,-84.3971864,33.7782483
87,-84.3971253,33.7782478
88,-84.3968249,33.7782402
89,-84.3967154,33.7782277
90,-84.3966072,33.7782066
91,-84.3965384,33.7781875
92,-84.396432,33.778153
93,-84.3963674,33.7781263
94,-84.3962263,33.7780607
95,-84.3960941,33.777984
96,-84.39604,33.777948
97,-84.3959872,33.7779122
98,-84.3959408,33.777871
99,-84.3958983,33.7778274
100,-84.3958312,33.7777408
101,-84.3991891,33.7804505
102,-84.3991853,33.7797296
103,-84.3991877,33.7796843
104,-84.3955613,33.7723583
105,-84.3956074,33.7723585
106,-84.3956192,33.7723585
107,-84.3960277,33.7723631
108,-84.3960988,33.7723639
109,-84.3962391,33.7723583
110,-84.396451,33.772367
111,-84.3965216,33.7723748
112,-84.396542,33.772377
113,-84.3965668,33.7723839
114,-84.396636,33.772403
115,-84.396722,33.772445
116,-84.3967657,33.7724787
117,-84.3969025,33.7725842
118,-84.3970204,33.7726752
119,-84.3971131,33.7727414
120,-84.3971441,33.7727636
121,-84.3971822,33.7727908
122,-84.3972935,33.7728569
123,-84.3974692,33.7729643
124,-84.397725,33.773088
125,-84.397913,33.773158
126,-84.397981,33.773175
127,-84.398132,33.773213
128,-84.398286,33.773242
129,-84.3983257,33.7732484
130,-84.3983858,33.7732594
131,-84.3991381,33.7733797
132,-84.3991677,33.7733842
133,-84.3991782,33.7733858
134,-84.399223,33.773393
135,-84.3992493,33.7733972
136,-84.3993358,33.7734111
137,-84.399707,33.7734708
138,-84.3955001,33.772388
139,-84.3955002,33.7724223
140,-84.3954978,33.7725349
141,-84.3954908,33.7729973
142,-84.3954895,33.7730788
143,-84.395488,33.7731674
144,-84.3954864,33.7732595
145,-84.395483,33.77351
146,-84.3954807,33.7736662
147,-84.3954771,33.7739205
148,-84.3949906,33.7739238
149,-84.4022805,33.7741673
150,-84.402137,33.774052
151,-84.401962,33.773934
152,-84.401857,33.773878
153,-84.401745,33.773831
154,-84.401535,33.773765
155,-84.401375,33.7737392
156,-84.4013535,33.7737357
157,-84.4013069,33.7737283
158,-84.4012517,33.7737194
159,-84.40245,33.7742439
160,-84.4025829,33.7741583
161,-84.4027177,33.774027
162,-84.4027811,33.7739322
163,-84.4024163,33.7743501
164,-84.4024742,33.7744347
165,-84.4024841,33.7744491
166,-84.40252,33.7745561
167,-84.402527,33.77459
168,-84.402551,33.774686
169,-84.402571,33.774767
170,-84.402584,33.7749068
171,-84.4025755,33.775064
172,-84.402559,33.7752841
173,-84.4025478,33.7754325
174,-84.4025013,33.7760532
175,-84.4024969,33.7761125
176,-84.4024927,33.7761793
177,-84.4024787,33.7763637
178,-84.4024479,33.7767767
179,-84.4024148,33.777229
180,-84.4024122,33.7772502
181,-84.4025185,33.7772817
182,-84.4037818,33.7772671
183,-84.404179,33.7772771
184,-84.4042105,33.7773234
185,-84.4042354,33.7773601
186,-84.404232,33.7777304
187,-84.404208,33.7780337
188,-84.4042064,33.7780571
189,-84.4042015,33.7782252
190,-84.404194,33.7784334
191,-84.4041936,33.7784515
192,-84.4041874,33.778634
193,-84.4024122,33.7772502
194,-84.4024148,33.777229
195,-84.4024479,33.7767767
196,-84.4024787,33.7763637
197,-84.4024927,33.7761793
198,-84.4024969,33.7761125
199,-84.4025013,33.7760532
200,-84.4025478,33.7754325
201,-84.402559,33.7752841
202,-84.4025755,33.775064
203,-84.402584,33.7749068
204,-84.402571,33.774767
205,-84.402551,33.774686
206,-84.402527,33.77459
207,-84.40252,33.7745561
208,-84.4024841,33.7744491
209,-84.4024742,33.7744347
210,-84.4024163,33.7743501
211,-84.4024039,33.7773352
212,-84.4023749,33.7774411
213,-84.4023545,33.7775065
214,-84.4023218,33.7775778
215,-84.4022945,33.7776376
216,-84.4022375,33.7777182
217,-84.4021944,33.7777797
218,-84.4021254,33.7778502
219,-84.4019935,33.7779593
220,-84.4018026,33.7780786
221,-84.4015429,33.7782508
222,-84.401456,33.778306
223,-84.401374,33.7783526
224,-84.4013422,33.7784621
225,-84.4013662,33.7784866
226,-84.4014754,33.778599
227,-84.4016551,33.7787885
228,-84.401842,33.7789657
229,-84.4019913,33.7791189
230,-84.4021875,33.7793401
231,-84.4023188,33.7794826
232,-84.4024714,33.7796482
233,-84.4012109,33.7784231
234,-84.401078,33.778457
235,-84.400948,33.778479
236,-84.400816,33.778487
237,-84.4006752,33.7784898
238,-84.400536,33.778484
239,-84.400408,33.778474
240,-84.4002281,33.7784398
241,-84.4001446,33.7784301
242,-84.3999891,33.7783977
243,-84.3999171,33.7783792
244,-84.3996523,33.7783258
245,-84.399557,33.7783098
246,-84.3994719,33.7782956
247,-84.3994028,33.778284
248,-84.3992847,33.7782788
249,-84.401374,33.7783526
250,-84.401456,33.778306
251,-84.4015429,33.7782508
252,-84.4018026,33.7780786
253,-84.4019935,33.7779593
254,-84.4021254,33.7778502
255,-84.4021944,33.7777797
256,-84.4022375,33.7777182
257,-84.4022945,33.7776376
258,-84.4023218,33.7775778
259,-84.4023545,33.7775065
260,-84.4023749,33.7774411
261,-84.4024039,33.7773352
262,-84.3956676,33.777689
263,-84.395581,33.7777458
264,-84.3954782,33.7778621
265,-84.3954289,33.7780087
266,-84.3954182,33.7782179
267,-84.3954238,33.7789074
268,-84.395719,33.7775754
269,-84.3956999,33.7775438
270,-84.3956548,33.777476
271,-84.3954475,33.7771585
272,-84.3954153,33.7771092
273,-84.395379,33.7770775
274,-84.3953492,33.7770522
275,-84.395269,33.7770097
276,-84.3951436,33.7769601
277,-84.3951058,33.7769567
278,-84.3950398,33.7769507
279,-84.3947869,33.7769445
280,-84.394304,33.7769368
281,-84.3941803,33.7769351
282,-84.3940566,33.7769334
